time,human_status,human_target,human_remaining,human_at_A,human_at_B,human_at_C,human_at_D,robot_status,robot_mode,robot_target,robot_remaining,robot_at_A,robot_at_B,robot_at_C,robot_at_D,prv_mode,delta_t_formal,delta_t_learned,confidence,formal_critical,learned_advisory
37.00,MOVING,B,2.88,False,False,False,False,MOVING,NORMAL,C,4.38,False,False,False,False,NOMINAL,inf,inf,0.050,False,False
37.50,MOVING,B,2.38,False,False,False,False,MOVING,NORMAL,C,3.88,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
38.00,MOVING,B,1.88,False,False,False,False,MOVING,NORMAL,C,3.38,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
38.50,MOVING,B,1.38,False,False,False,False,MOVING,NORMAL,C,2.88,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
39.00,MOVING,B,0.88,False,False,False,False,MOVING,NORMAL,C,2.38,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
39.50,MOVING,B,0.38,False,False,False,False,MOVING,NORMAL,C,1.88,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
40.00,EXITING,B,1.11,False,True,False,False,MOVING,NORMAL,C,1.38,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
40.50,EXITING,B,0.61,False,True,False,False,MOVING,NORMAL,C,0.88,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
41.00,EXITING,B,0.11,False,True,False,False,MOVING,NORMAL,C,0.38,False,False,False,False,NOMINAL,inf,inf,0.050,False,False
41.50,IDLE,,-0.39,False,False,False,False,EXITING,NORMAL,C,1.26,False,False,True,False,NOMINAL,inf,inf,0.850,False,False
42.00,MOVING,A,4.54,False,False,False,False,EXITING,NORMAL,C,0.76,False,False,True,False,NOMINAL,inf,inf,0.050,False,False
42.50,MOVING,A,4.04,False,False,False,False,EXITING,NORMAL,C,0.26,False,False,True,False,NOMINAL,inf,inf,0.850,False,False
43.00,MOVING,A,3.54,False,False,False,False,IDLE,NORMAL,,-0.24,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
43.50,MOVING,A,3.04,False,False,False,False,MOVING,NORMAL,B,6.83,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
44.00,MOVING,A,2.54,False,False,False,False,MOVING,NORMAL,B,6.33,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
44.50,MOVING,A,2.04,False,False,False,False,MOVING,NORMAL,B,5.83,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
45.00,MOVING,A,1.54,False,False,False,False,MOVING,NORMAL,B,5.33,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
45.50,MOVING,A,1.04,False,False,False,False,MOVING,NORMAL,B,4.83,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
46.00,MOVING,A,0.54,False,False,False,False,MOVING,NORMAL,B,4.33,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
46.50,MOVING,A,0.04,False,False,False,False,MOVING,NORMAL,B,3.83,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
47.00,EXITING,A,1.02,True,False,False,False,MOVING,NORMAL,B,3.33,False,False,False,False,NOMINAL,inf,inf,0.050,False,False
47.50,EXITING,A,0.52,True,False,False,False,MOVING,NORMAL,B,2.83,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
48.00,EXITING,A,0.02,True,False,False,False,MOVING,NORMAL,B,2.33,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
48.50,IDLE,,-0.48,False,False,False,False,MOVING,NORMAL,B,1.83,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
49.00,MOVING,C,4.24,False,False,False,False,MOVING,NORMAL,B,1.33,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
49.50,MOVING,C,3.74,False,False,False,False,MOVING,NORMAL,B,0.83,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
50.00,MOVING,C,3.24,False,False,False,False,MOVING,NORMAL,B,0.33,False,False,False,False,NOMINAL,inf,inf,0.050,False,False
50.50,MOVING,C,2.74,False,False,False,False,EXITING,NORMAL,B,1.77,False,True,False,False,NOMINAL,inf,inf,0.850,False,False
51.00,MOVING,C,2.24,False,False,False,False,EXITING,NORMAL,B,1.27,False,True,False,False,NOMINAL,inf,inf,0.850,False,False
51.50,MOVING,C,1.74,False,False,False,False,EXITING,NORMAL,B,0.77,False,True,False,False,NOMINAL,inf,inf,0.850,False,False
52.00,MOVING,C,1.24,False,False,False,False,EXITING,NORMAL,B,0.27,False,True,False,False,NOMINAL,inf,inf,0.850,False,False
52.50,MOVING,C,0.74,False,False,False,False,IDLE,NORMAL,,-0.23,False,False,False,False,NOMINAL,inf,inf,0.050,False,False
53.00,MOVING,C,0.24,False,False,False,False,MOVING,NORMAL,D,7.89,False,False,False,False,NOMINAL,inf,0.24,0.050,False,False
53.50,EXITING,C,1.69,False,False,True,False,MOVING,NORMAL,D,7.39,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
54.00,EXITING,C,1.19,False,False,True,False,MOVING,NORMAL,D,6.89,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
54.50,EXITING,C,0.69,False,False,True,False,MOVING,NORMAL,D,6.39,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
55.00,EXITING,C,0.19,False,False,True,False,MOVING,NORMAL,D,5.89,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
55.50,IDLE,,-0.31,False,False,False,False,MOVING,NORMAL,D,5.39,False,False,False,False,NOMINAL,inf,inf,0.050,False,False
56.00,MOVING,D,4.36,False,False,False,False,MOVING,NORMAL,D,4.89,False,False,False,False,ADVISORY,2.86,4.36,0.850,False,True
56.50,MOVING,D,3.86,False,False,False,False,MOVING,SLOW,D,4.77,False,False,False,False,NOMINAL,2.36,3.86,0.850,False,False
57.00,MOVING,D,3.36,False,False,False,False,MOVING,SLOW,D,4.27,False,False,False,False,NOMINAL,1.86,3.36,0.850,False,False
57.50,MOVING,D,2.86,False,False,False,False,MOVING,SLOW,D,3.77,False,False,False,False,CRITICAL,1.36,2.86,0.850,True,False
58.00,MOVING,D,2.36,False,False,False,False,MOVING,SLOW,D,3.77,False,False,False,False,CRITICAL,0.86,2.36,0.850,True,False
58.50,MOVING,D,1.86,False,False,False,False,MOVING,SLOW,D,3.77,False,False,False,False,CRITICAL,0.36,1.86,0.850,True,False
59.00,MOVING,D,1.36,False,False,False,False,MOVING,SLOW,D,3.77,False,False,False,False,NOMINAL,inf,1.36,0.850,False,False
59.50,MOVING,D,0.86,False,False,False,False,MOVING,SLOW,D,3.27,False,False,False,False,NOMINAL,inf,0.86,0.850,False,False
60.00,MOVING,D,0.36,False,False,False,False,MOVING,SLOW,D,2.77,False,False,False,False,CRITICAL,0.36,inf,0.050,True,False
60.50,EXITING,D,1.07,False,False,False,True,STOPPED,SLOW,D,2.77,False,False,False,False,NOMINAL,inf,0.00,0.850,False,False
61.00,EXITING,D,0.57,False,False,False,True,STOPPED,SLOW,D,2.77,False,False,False,False,NOMINAL,inf,0.00,0.850,False,False
61.50,EXITING,D,0.07,False,False,False,True,STOPPED,SLOW,D,2.77,False,False,False,False,NOMINAL,inf,0.00,0.850,False,False
62.00,IDLE,,-0.43,False,False,False,False,MOVING,SLOW,D,2.77,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
62.50,MOVING,A,6.81,False,False,False,False,MOVING,NORMAL,D,0.61,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
63.00,MOVING,A,6.31,False,False,False,False,MOVING,NORMAL,D,0.11,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
63.50,MOVING,A,5.81,False,False,False,False,EXITING,NORMAL,D,1.78,False,False,False,True,NOMINAL,inf,inf,0.850,False,False
64.00,MOVING,A,5.31,False,False,False,False,EXITING,NORMAL,D,1.28,False,False,False,True,NOMINAL,inf,inf,0.850,False,False
64.50,MOVING,A,4.81,False,False,False,False,EXITING,NORMAL,D,0.78,False,False,False,True,NOMINAL,inf,inf,0.850,False,False
65.00,MOVING,A,4.31,False,False,False,False,EXITING,NORMAL,D,0.28,False,False,False,True,NOMINAL,inf,inf,0.850,False,False
65.50,MOVING,A,3.81,False,False,False,False,IDLE,NORMAL,,-0.22,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
66.00,MOVING,A,3.31,False,False,False,False,MOVING,NORMAL,A,6.40,False,False,False,False,ADVISORY,inf,3.31,0.850,False,True
66.50,MOVING,A,2.81,False,False,False,False,MOVING,SLOW,A,6.39,False,False,False,False,NOMINAL,inf,2.81,0.850,False,False
67.00,MOVING,A,2.31,False,False,False,False,MOVING,SLOW,A,5.89,False,False,False,False,NOMINAL,inf,inf,0.050,False,False
67.50,MOVING,A,1.81,False,False,False,False,MOVING,SLOW,A,5.39,False,False,False,False,NOMINAL,inf,1.81,0.850,False,False
68.00,MOVING,A,1.31,False,False,False,False,MOVING,SLOW,A,4.89,False,False,False,False,NOMINAL,inf,1.31,0.850,False,False
68.50,MOVING,A,0.81,False,False,False,False,MOVING,SLOW,A,4.39,False,False,False,False,NOMINAL,inf,0.81,0.850,False,False
69.00,MOVING,A,0.31,False,False,False,False,MOVING,SLOW,A,3.89,False,False,False,False,NOMINAL,inf,0.31,0.850,False,False
69.50,EXITING,A,1.19,True,False,False,False,MOVING,SLOW,A,3.39,False,False,False,False,CRITICAL,3.39,0.00,0.850,True,False
70.00,EXITING,A,0.69,True,False,False,False,STOPPED,SLOW,A,3.39,False,False,False,False,NOMINAL,inf,0.00,0.850,False,False
70.50,EXITING,A,0.19,True,False,False,False,STOPPED,SLOW,A,3.39,False,False,False,False,NOMINAL,inf,0.00,0.850,False,False
71.00,IDLE,,-0.31,False,False,False,False,MOVING,SLOW,A,3.39,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
71.50,MOVING,B,6.62,False,False,False,False,MOVING,NORMAL,A,0.86,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
72.00,MOVING,B,6.12,False,False,False,False,MOVING,NORMAL,A,0.36,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
